2015-07-25 23:37:58,147,time,thermocouple_index,thermocouple_temp
2015-07-25 23:48:52,744,654.597633839,1,460.750800
2015-07-25 23:48:53,928,655.781636953,1,460.961200
2015-07-25 23:48:53,960,655.813628912,0,346.708000
2015-07-25 23:48:55,144,656.997490883,1,461.187800
2015-07-25 23:48:56,328,658.181576014,1,461.442000
2015-07-25 23:48:56,360,658.213572025,0,346.982800
2015-07-25 23:48:57,192,659.045493841,1,461.231200
2015-07-25 23:48:58,184,660.037520885,1,460.972600
2015-07-25 23:48:58,792,660.645539045,1,460.746200
2015-07-25 23:48:58,984,660.837761879,1,460.519600
2015-07-25 23:48:59,112,660.965576887,0,347.225200
2015-07-25 23:48:59,592,661.445493937,1,460.281200
2015-07-25 23:48:59,848,661.70165801,1,460.066200
2015-07-25 23:49:01,224,663.07749486,1,460.313200
2015-07-25 23:49:01,928,663.781482935,1,460.535600
2015-07-25 23:49:02,312,664.165573835,0,347.495800
2015-07-25 23:49:02,664,664.517528057,1,460.762000
2015-07-25 23:49:03,496,665.349627972,1,461.009200
2015-07-25 23:49:04,616,666.469449997,1,461.235800
2015-07-25 23:49:04,680,666.533339977,0,347.710800
2015-07-25 23:49:06,248,668.101541042,1,461.474200
2015-07-25 23:49:07,528,669.381492853,1,461.227200
2015-07-25 23:49:07,912,669.76560092,0,347.932800
2015-07-25 23:49:08,776,670.629624844,1,460.961200
2015-07-25 23:49:08,968,670.821473837,1,460.730200
2015-07-25 23:49:09,544,671.397477865,1,460.503600
2015-07-25 23:49:10,344,672.197654009,1,460.233000
2015-07-25 23:49:10,664,672.517567873,0,348.207800
2015-07-25 23:49:10,920,672.773486853,0,347.976200
2015-07-25 23:49:11,208,673.061529875,1,459.990600
2015-07-25 23:49:11,496,673.349480867,0,348.235200
2015-07-25 23:49:11,720,673.573601961,1,459.780000
2015-07-25 23:49:12,936,674.789681911,1,460.038800
2015-07-25 23:49:13,416,675.269599915,1,460.276600
2015-07-25 23:49:13,768,675.62171483,1,460.523800
2015-07-25 23:49:13,832,675.68543601,0,348.450200
2015-07-25 23:49:14,568,676.421566963,1,460.782800
2015-07-25 23:49:15,912,677.765635014,1,460.567800
2015-07-25 23:49:16,264,678.117580891,0,348.660800
2015-07-25 23:49:16,456,678.309479952,1,460.297200
2015-07-25 23:49:16,488,678.341495991,0,348.381600
2015-07-25 23:49:16,712,678.565796852,1,460.093600
2015-07-25 23:49:16,968,678.821671009,0,348.601200
2015-07-25 23:49:17,224,679.077493906,1,459.887800
